Typ registru;Zdrojovy xml fragment;Splostenie arrayu elementov do textu?;Ciel v json;mod CHANGES;mod CONSOLIDATED_UPSERT;mod CONSOLIDATED_DELETE
REGION;/regionChange/changeId;;changeId;TRUE;TRUE;
REGION;/regionChange/changedAt;;changedAt;TRUE;TRUE;
REGION;/regionChange/databaseOperation;;databaseOperation;TRUE;TRUE;
REGION;/regionChange/objectId;;objectId;TRUE;TRUE;TRUE
REGION;/regionChange/versionId;;versionId;TRUE;TRUE;TRUE
REGION;/regionChange/createdReason;;createdReason;TRUE;TRUE;
REGION;/regionChange/validFrom;;validFrom;TRUE;TRUE;
REGION;/regionChange/validTo;;validTo;TRUE;TRUE;
REGION;/regionChange/effectiveDate;;effectiveDate;TRUE;TRUE;
REGION;/regionChange/Region/Codelist/CodelistCode;;codelistCode;TRUE;TRUE;
REGION;/regionChange/Region/Codelist/CodelistItem/ItemCode;;regionCode;TRUE;TRUE;
REGION;/regionChange/Region/Codelist/CodelistItem/ItemName;;regionName;TRUE;TRUE;
COUNTY;/countyChange/changeId;;changeId;TRUE;TRUE;
COUNTY;/countyChange/changedAt;;changedAt;TRUE;TRUE;
COUNTY;/countyChange/databaseOperation;;databaseOperation;TRUE;TRUE;
COUNTY;/countyChange/objectId;;objectId;TRUE;TRUE;TRUE
COUNTY;/countyChange/versionId;;versionId;TRUE;TRUE;TRUE
COUNTY;/countyChange/createdReason;;createdReason;TRUE;TRUE;
COUNTY;/countyChange/validFrom;;validFrom;TRUE;TRUE;
COUNTY;/countyChange/validTo;;validTo;TRUE;TRUE;
COUNTY;/countyChange/effectiveDate;;effectiveDate;TRUE;TRUE;
COUNTY;/countyChange/County/Codelist/CodelistCode;;codelistCode;TRUE;TRUE;
COUNTY;/countyChange/County/Codelist/CodelistItem/ItemCode;;countyCode;TRUE;TRUE;
COUNTY;/countyChange/County/Codelist/CodelistItem/ItemName;;countyName;TRUE;TRUE;
COUNTY;/countyChange/regionIdentifier;;regionIdentifier;TRUE;TRUE;
MUNICIPALITY;/municipalityChange/changeId;;changeId;TRUE;TRUE;
MUNICIPALITY;/municipalityChange/changedAt;;changedAt;TRUE;TRUE;
MUNICIPALITY;/municipalityChange/databaseOperation;;databaseOperation;TRUE;TRUE;
MUNICIPALITY;/municipalityChange/objectId;;objectId;TRUE;TRUE;TRUE
MUNICIPALITY;/municipalityChange/versionId;;versionId;TRUE;TRUE;TRUE
MUNICIPALITY;/municipalityChange/createdReason;;createdReason;TRUE;TRUE;
MUNICIPALITY;/municipalityChange/validFrom;;validFrom;TRUE;TRUE;
MUNICIPALITY;/municipalityChange/validTo;;validTo;TRUE;TRUE;
MUNICIPALITY;/municipalityChange/effectiveDate;;effectiveDate;TRUE;TRUE;
MUNICIPALITY;/municipalityChange/Municipality/Codelist/CodelistCode;;codelistCode;TRUE;TRUE;
MUNICIPALITY;/municipalityChange/Municipality/Codelist/CodelistItem/ItemCode;;municipalityCode;TRUE;TRUE;
MUNICIPALITY;/municipalityChange/Municipality/Codelist/CodelistItem/ItemName;;municipalityName;TRUE;TRUE;
MUNICIPALITY;/municipalityChange/countyIdentifier;;countyIdentifier;TRUE;TRUE;
MUNICIPALITY;/municipalityChange/status;;status;TRUE;TRUE;
MUNICIPALITY;/municipalityChange/cityIdentifier;;cityIdentifier;TRUE;TRUE;
DISTRICT;/districtChange/changeId;;changeId;TRUE;TRUE;
DISTRICT;/districtChange/changedAt;;changedAt;TRUE;TRUE;
DISTRICT;/districtChange/databaseOperation;;databaseOperation;TRUE;TRUE;
DISTRICT;/districtChange/objectId;;objectId;TRUE;TRUE;TRUE
DISTRICT;/districtChange/versionId;;versionId;TRUE;TRUE;TRUE
DISTRICT;/districtChange/createdReason;;createdReason;TRUE;TRUE;
DISTRICT;/districtChange/validFrom;;validFrom;TRUE;TRUE;
DISTRICT;/districtChange/validTo;;validTo;TRUE;TRUE;
DISTRICT;/districtChange/effectiveDate;;effectiveDate;TRUE;TRUE;
DISTRICT;/districtChange/District/@UniqueNumbering;;uniqueNumbering;TRUE;TRUE;
DISTRICT;/districtChange/District/Codelist/CodelistCode;;codelistCode;TRUE;TRUE;
DISTRICT;/districtChange/District/Codelist/CodelistItem/ItemCode;;districtCode;TRUE;TRUE;
DISTRICT;/districtChange/District/Codelist/CodelistItem/ItemName;;districtName;TRUE;TRUE;
DISTRICT;/districtChange/municipalityIdentifier;;municipalityIdentifier;TRUE;TRUE;
STREET_NAME;/streetNameChange/changeId;;changeId;TRUE;TRUE;
STREET_NAME;/streetNameChange/changedAt;;changedAt;TRUE;TRUE;
STREET_NAME;/streetNameChange/databaseOperation;;databaseOperation;TRUE;TRUE;
STREET_NAME;/streetNameChange/objectId;;objectId;TRUE;TRUE;TRUE
STREET_NAME;/streetNameChange/versionId;;versionId;TRUE;TRUE;TRUE
STREET_NAME;/streetNameChange/createdReason;;createdReason;TRUE;TRUE;
STREET_NAME;/streetNameChange/validFrom;;validFrom;TRUE;TRUE;
STREET_NAME;/streetNameChange/validTo;;validTo;TRUE;TRUE;
STREET_NAME;/streetNameChange/effectiveDate;;effectiveDate;TRUE;TRUE;
STREET_NAME;/streetNameChange/StreetName;;streetName;TRUE;TRUE;
STREET_NAME;/streetNameChange/districtIdentifier;TRUE;districtIdentifiers;TRUE;TRUE;
STREET_NAME;/streetNameChange/municipalityIdentifier;TRUE;municipalityIdentifiers;TRUE;TRUE;
PROPERTY_REGISTRATION_NUMBER;/propertyRegistrationNumberChange/changeId;;changeId;TRUE;TRUE;
PROPERTY_REGISTRATION_NUMBER;/propertyRegistrationNumberChange/changedAt;;changedAt;TRUE;TRUE;
